X_SbBe70V	Y_SbBe70V	ErrorX_SbBe70V	ErrorY_SbBe70V	X_Sb70V	Y_Sb70V	ErrorX_Sb70V	ErrorY_Sb70V	X_YBe70V	Y_YBe70V	ErrorX_YBe70V	ErrorY_YBe70V	X_Y70V	Y_Y70V	ErrorX_Y70V	ErrorY_Y70V	X_YBe25V	Y_YBe25V	ErrorX_YBe25V	ErrorY_YBe25V	X_Y25V	Y_Y25V	ErrorX_Y25V	ErrorY_Y25V
256.75	0.910391	0	0.00134739	256.75	0.956448	0	0.00200566	65.5	0.907738	0	0.00512283	65.5	0.901099	0	0.00935045	64.75	0.923816	0	0.00781285	65.75	0.928418	0	0.00806157
260.75	0.911199	0	0.00134007	260.75	0.957236	0	0.00199109	66.5	0.907833	0	0.00512115	66.5	0.90141	0	0.0093396	65.75	0.923874	0	0.00782544	66.75	0.92851	0	0.0080776
264.75	0.911996	0	0.00133298	264.75	0.958008	0	0.00197682	67.5	0.907917	0	0.00511969	67.5	0.901717	0	0.00932831	66.75	0.923924	0	0.00783888	67.75	0.928593	0	0.00809303
268.75	0.912781	0	0.00132615	268.75	0.958764	0	0.00196288	68.5	0.907991	0	0.00511846	68.5	0.902017	0	0.00931661	67.75	0.923967	0	0.00785311	68.75	0.928667	0	0.00810756
272.75	0.913554	0	0.00131959	272.75	0.959502	0	0.00194934	69.5	0.908056	0	0.00511743	69.5	0.902312	0	0.00930453	68.75	0.924003	0	0.00786796	69.75	0.928735	0	0.00812083
276.75	0.914311	0	0.00131334	276.75	0.960222	0	0.00193622	70.5	0.908112	0	0.0051166	70.5	0.902599	0	0.00929211	69.75	0.924034	0	0.00788332	70.75	0.928798	0	0.0081325
280.75	0.915053	0	0.00130741	280.75	0.960923	0	0.00192357	71.5	0.90816	0	0.00511595	71.5	0.902878	0	0.00927936	70.75	0.92406	0	0.00789914	71.75	0.928857	0	0.00814211
284.75	0.915779	0	0.00130182	284.75	0.961605	0	0.00191144	72.5	0.9082	0	0.00511546	72.5	0.903148	0	0.00926636	71.75	0.924082	0	0.00791528	72.75	0.928913	0	0.00814944
288.75	0.916487	0	0.00129659	288.75	0.962267	0	0.00189985	73.5	0.908234	0	0.0051151	73.5	0.903408	0	0.00925314	72.75	0.924101	0	0.00793167	73.75	0.928969	0	0.00815421
292.75	0.917177	0	0.00129173	292.75	0.962909	0	0.00188882	74.5	0.908262	0	0.00511486	74.5	0.903657	0	0.00923974	73.75	0.924118	0	0.00794819	74.75	0.929026	0	0.0081561
296.75	0.917848	0	0.00128724	296.75	0.963529	0	0.0018784	75.5	0.908286	0	0.00511472	75.5	0.903896	0	0.00922618	74.75	0.924134	0	0.00796483	75.75	0.929086	0	0.00815497
300.75	0.918499	0	0.00128315	300.75	0.964129	0	0.00186859	76.5	0.908307	0	0.00511464	76.5	0.904123	0	0.0092125	75.75	0.92415	0	0.00798147	76.75	0.92915	0	0.00815066
304.75	0.91913	0	0.00127944	304.75	0.964708	0	0.00185942	77.5	0.908326	0	0.00511461	77.5	0.904339	0	0.00919874	76.75	0.924168	0	0.00799805	77.75	0.92922	0	0.00814303
308.75	0.919741	0	0.00127612	308.75	0.965266	0	0.00185089	78.5	0.908344	0	0.00511461	78.5	0.904545	0	0.00918493	77.75	0.92419	0	0.00801447	78.75	0.929297	0	0.00813201
312.75	0.920329	0	0.00127319	312.75	0.965801	0	0.001843	79.5	0.908364	0	0.00511461	79.5	0.904739	0	0.0091711	78.75	0.924215	0	0.00803074	79.75	0.929382	0	0.00811763
316.75	0.920896	0	0.00127063	316.75	0.966315	0	0.00183575	80.5	0.908386	0	0.00511458	80.5	0.904924	0	0.00915724	79.75	0.924247	0	0.00804674	80.75	0.929476	0	0.00809996
320.75	0.921441	0	0.00126843	320.75	0.966806	0	0.00182914	81.5	0.908412	0	0.00511451	81.5	0.905098	0	0.00914343	80.75	0.924287	0	0.00806247	81.75	0.92958	0	0.00807909
324.75	0.921962	0	0.00126658	324.75	0.967275	0	0.00182315	82.5	0.908443	0	0.00511436	82.5	0.905264	0	0.00912967	81.75	0.924336	0	0.00807785	82.75	0.929695	0	0.00805518
328.75	0.922459	0	0.00126506	328.75	0.967722	0	0.00181776	83.5	0.908481	0	0.00511412	83.5	0.905421	0	0.00911598	82.75	0.924397	0	0.00809278	83.75	0.92982	0	0.00802842
332.75	0.922932	0	0.00126385	332.75	0.968145	0	0.00181296	84.5	0.908528	0	0.00511377	84.5	0.905573	0	0.00910236	83.75	0.92447	0	0.00810726	84.75	0.929956	0	0.00799909
336.75	0.92338	0	0.00126291	336.75	0.968544	0	0.0018087	85.5	0.908583	0	0.0051133	85.5	0.905718	0	0.00908886	84.75	0.924558	0	0.00812123	85.75	0.930102	0	0.00796744
340.75	0.923803	0	0.00126224	340.75	0.96892	0	0.00180497	86.5	0.908649	0	0.00511269	86.5	0.905858	0	0.00907547	85.75	0.924661	0	0.00813457	86.75	0.930257	0	0.00793392
344.75	0.9242	0	0.00126179	344.75	0.969272	0	0.00180173	87.5	0.908726	0	0.00511192	87.5	0.905995	0	0.00906221	86.75	0.924782	0	0.00814721	87.75	0.930421	0	0.0078987
348.75	0.924569	0	0.00126153	348.75	0.969598	0	0.00179894	88.5	0.908816	0	0.005111	88.5	0.90613	0	0.00904909	87.75	0.924922	0	0.00815913	88.75	0.930593	0	0.00786234
352.75	0.924911	0	0.00126145	352.75	0.9699	0	0.00179656	89.5	0.908918	0	0.00510989	89.5	0.906264	0	0.00903614	88.75	0.925082	0	0.00817016	89.75	0.93077	0	0.00782503
								90.5	0.909034	0	0.00510861	90.5	0.906398	0	0.00902337	89.75	0.925262	0	0.00818024	90.75	0.930952	0	0.00778739
								91.5	0.909163	0	0.00510715	91.5	0.906534	0	0.00901077	90.75	0.925465	0	0.00818925	91.75	0.931137	0	0.00774969
								92.5	0.909306	0	0.00510551	92.5	0.906672	0	0.0089984	91.75	0.925688	0	0.00819714	92.75	0.931323	0	0.00771239
								93.5	0.909463	0	0.00510369	93.5	0.906813	0	0.00898625	92.75	0.925935	0	0.00820376	93.75	0.931508	0	0.00767597
								94.5	0.909633	0	0.00510169	94.5	0.906957	0	0.00897434	93.75	0.926205	0	0.00820899	94.75	0.931691	0	0.00764067
								95.5	0.909817	0	0.00509952	95.5	0.907106	0	0.00896271	94.75	0.926496	0	0.00821279	95.75	0.931868	0	0.00760686
								96.5	0.910013	0	0.00509718	96.5	0.907259	0	0.00895135	95.75	0.926809	0	0.00821503	96.75	0.932038	0	0.00757504
								97.5	0.910221	0	0.00509468	97.5	0.907418	0	0.00894028	96.75	0.927142	0	0.00821562	97.75	0.9322	0	0.00754539
								98.5	0.91044	0	0.00509203	98.5	0.907581	0	0.00892954	97.75	0.927496	0	0.00821446	98.75	0.932352	0	0.00751827
								99.5	0.91067	0	0.00508924	99.5	0.907748	0	0.00891914	98.75	0.927868	0	0.00821152	99.75	0.932492	0	0.00749386
								100.5	0.910908	0	0.0050863	100.5	0.907919	0	0.00890911	99.75	0.928256	0	0.00820676	100.75	0.932619	0	0.00747245
								101.5	0.911156	0	0.00508325	101.5	0.908093	0	0.00889942	100.75	0.92866	0	0.00820008	101.75	0.932731	0	0.00745415
								102.5	0.91141	0	0.00508007	102.5	0.908271	0	0.00889011	101.75	0.929076	0	0.00819156	102.75	0.932828	0	0.00743909
								103.5	0.91167	0	0.00507679	103.5	0.90845	0	0.00888119	102.75	0.929502	0	0.00818115	103.75	0.93291	0	0.00742726
								104.5	0.911935	0	0.00507338	104.5	0.908629	0	0.00887265	103.75	0.929937	0	0.00816889	104.75	0.932975	0	0.00741877
								105.5	0.912205	0	0.00506989	105.5	0.908808	0	0.00886448	104.75	0.930378	0	0.00815479	105.75	0.933025	0	0.00741365
								106.5	0.912478	0	0.00506629	106.5	0.908985	0	0.00885671	105.75	0.930822	0	0.00813893	106.75	0.93306	0	0.00741175
								107.5	0.912753	0	0.00506261	107.5	0.909158	0	0.00884931	106.75	0.931267	0	0.0081214	107.75	0.93308	0	0.007413
								108.5	0.91303	0	0.00505883	108.5	0.909328	0	0.00884228	107.75	0.93171	0	0.0081023	108.75	0.933088	0	0.00741718
								109.5	0.913308	0	0.00505496	109.5	0.909492	0	0.00883558	108.75	0.93215	0	0.00808174	109.75	0.933084	0	0.00742414
								110.5	0.913587	0	0.00505099	110.5	0.909649	0	0.00882921	109.75	0.932583	0	0.00805983	110.75	0.93307	0	0.00743366
								111.5	0.913866	0	0.00504693	111.5	0.9098	0	0.00882313	110.75	0.933008	0	0.00803678	111.75	0.933049	0	0.00744544
								112.5	0.914144	0	0.00504276	112.5	0.909942	0	0.00881732	111.75	0.933422	0	0.00801273	112.75	0.933023	0	0.0074592
								113.5	0.914423	0	0.00503849	113.5	0.910075	0	0.00881174	112.75	0.933825	0	0.00798776	113.75	0.932996	0	0.00747463
								114.5	0.9147	0	0.00503411	114.5	0.910197	0	0.0088064	113.75	0.934213	0	0.00796214	114.75	0.932968	0	0.00749125
								115.5	0.914978	0	0.00502961	115.5	0.91031	0	0.00880122	114.75	0.934587	0	0.00793603	115.75	0.932945	0	0.00750874
								116.5	0.915255	0	0.00502498	116.5	0.910412	0	0.00879621	115.75	0.934944	0	0.00790961	116.75	0.932929	0	0.00752675
								117.5	0.915532	0	0.00502021	117.5	0.910504	0	0.00879133	116.75	0.935284	0	0.00788304	117.75	0.932923	0	0.00754488
								118.5	0.915809	0	0.00501528	118.5	0.910585	0	0.00878656	117.75	0.935607	0	0.0078565	118.75	0.932931	0	0.00756257
								119.5	0.916087	0	0.00501021	119.5	0.910656	0	0.00878187	118.75	0.935911	0	0.00783016	119.75	0.932955	0	0.00757955
								120.5	0.916366	0	0.00500498	120.5	0.910717	0	0.00877724	119.75	0.936197	0	0.00780418	120.75	0.932999	0	0.00759534
								121.5	0.916646	0	0.00499959	121.5	0.91077	0	0.00877266	120.75	0.936464	0	0.00777874	121.75	0.933066	0	0.00760965
								122.5	0.916927	0	0.00499402	122.5	0.910814	0	0.00876809	121.75	0.936713	0	0.00775392	122.75	0.933158	0	0.007622
								123.5	0.917211	0	0.00498826	123.5	0.910851	0	0.00876355	122.75	0.936944	0	0.00772992	123.75	0.933277	0	0.00763209
								124.5	0.917498	0	0.00498232	124.5	0.910883	0	0.00875903	123.75	0.937157	0	0.00770678	124.75	0.933426	0	0.00763957
								125.5	0.917787	0	0.00497619	125.5	0.91091	0	0.0087545	124.75	0.937353	0	0.00768464	125.75	0.933605	0	0.00764419
								126.5	0.918079	0	0.00496986	126.5	0.910934	0	0.00874998	125.75	0.937532	0	0.00766365	126.75	0.933817	0	0.00764557
								127.5	0.918374	0	0.00496336	127.5	0.910956	0	0.00874546	126.75	0.937695	0	0.00764378	127.75	0.934061	0	0.00764347
								128.5	0.918673	0	0.00495666	128.5	0.910978	0	0.00874093	127.75	0.937843	0	0.00762514	128.75	0.934338	0	0.00763789
								129.5	0.918976	0	0.00494977	129.5	0.911002	0	0.00873641	128.75	0.937976	0	0.00760778	129.75	0.934648	0	0.00762846
								130.5	0.919282	0	0.0049427	130.5	0.911029	0	0.00873191	129.75	0.938095	0	0.00759174	130.75	0.93499	0	0.00761516
								131.5	0.919591	0	0.00493546	131.5	0.911061	0	0.00872739	130.75	0.9382	0	0.007577	131.75	0.935362	0	0.00759796
								132.5	0.919903	0	0.00492804	132.5	0.9111	0	0.00872289	131.75	0.938293	0	0.0075636	132.75	0.935763	0	0.00757682
								133.5	0.920218	0	0.00492049	133.5	0.911147	0	0.00871839	132.75	0.938373	0	0.00755151	133.75	0.93619	0	0.00755183
								134.5	0.920535	0	0.00491279	134.5	0.911203	0	0.00871391	133.75	0.93844	0	0.00754073	134.75	0.936642	0	0.00752305
								135.5	0.920854	0	0.00490497	135.5	0.911271	0	0.00870941	134.75	0.938496	0	0.00753127	135.75	0.937114	0	0.00749053
								136.5	0.921173	0	0.00489704	136.5	0.911351	0	0.00870492	135.75	0.93854	0	0.00752305	136.75	0.937604	0	0.00745454
								137.5	0.921493	0	0.00488903	137.5	0.911444	0	0.0087004	136.75	0.938573	0	0.00751608	137.75	0.938108	0	0.00741526
								138.5	0.921812	0	0.00488096	138.5	0.911553	0	0.00869585	137.75	0.938595	0	0.00751029	138.75	0.938623	0	0.00737296
								139.5	0.922129	0	0.00487285	139.5	0.911678	0	0.00869125	138.75	0.938606	0	0.00750567	139.75	0.939143	0	0.00732789
								140.5	0.922444	0	0.00486472	140.5	0.911819	0	0.00868656	139.75	0.938605	0	0.0075022	140.75	0.939666	0	0.00728047
								141.5	0.922755	0	0.00485661	141.5	0.911979	0	0.00868175	140.75	0.938594	0	0.00749977	141.75	0.940187	0	0.00723091
								142.5	0.923061	0	0.00484853	142.5	0.912156	0	0.00867683	141.75	0.938571	0	0.00749836	142.75	0.940702	0	0.0071797
								143.5	0.923362	0	0.00484052	143.5	0.912352	0	0.00867176	142.75	0.938538	0	0.00749793	143.75	0.941207	0	0.00712713
								144.5	0.923655	0	0.0048326	144.5	0.912567	0	0.00866647	143.75	0.938493	0	0.00749842	144.75	0.941698	0	0.00707369
								145.5	0.92394	0	0.0048248	145.5	0.912801	0	0.00866094	144.75	0.938437	0	0.0074998	145.75	0.942173	0	0.00701977
								146.5	0.924216	0	0.00481715	146.5	0.913054	0	0.00865513	145.75	0.938371	0	0.00750204	146.75	0.942627	0	0.00696574
