X_SbBe70V	Y_SbBe70V	ErrorX_SbBe70V	ErrorY_SbBe70V	X_Sb70fit	Y_Sb70fit	ErrorX_Sb70fit	ErrorY_Sb70fit	X_Sb70bkg	Y_Sb70bkg	X_YBe70V	Y_YBe70V	ErrorX_YBe70V	ErrorY_YBe70V	X_Y70fit	Y_Y70fit	ErrorX_Y70fit	ErrorY_Y70fit	X_Y70bkg	Y_Y70bkg	X_YBe25V	Y_YBe25V	ErrorX_YBe25V	ErrorY_YBe25V	X_Y25fit	Y_Y25fit	ErrorX_Y25fit	ErrorY_Y25fit	X_Y25bkg	Y_Y25bkg
14.6669	194.627	0.0965398	26.0082	26.8012	266.346	0.193467	0.000000983814	26.8012	266.346	158.104	2380.97	1.21559	54.8547	27.9151	2778.65	0.199365	0.00000408637	27.9151	2130.06	92.8786	10443.8	0.710207	224.455	19.1303	12782.8	0.134233	0.000022523	19.1303	10987.8
14.86	260.662	0.0965398	30.0986	27.1885	268.575	0.193467	0.000000992044	27.1885	268.575	160.55	2274.82	1.21559	53.6179	28.3143	2764.1	0.199365	0.00000475449	28.3143	2128.38	94.3066	11138.4	0.710207	231.799	19.3991	12714.2	0.134233	0.0000237701	19.3991	10979.9
15.0532	222.431	0.0965398	27.8039	27.5758	270.567	0.193467	0.000000999404	27.5758	270.567	162.996	2200.25	1.21559	52.7319	28.7134	2749.15	0.199365	0.0000056024	28.7134	2125.98	95.7346	10540.3	0.710207	225.489	19.6678	12644.4	0.134233	0.0000246476	19.6678	10970.3
15.2464	257.186	0.0965398	29.8973	27.9632	272.051	0.193467	0.00000100488	27.9632	272.051	165.442	2351.91	1.21559	54.5189	29.1125	2736.55	0.199365	0.00000642368	29.1125	2125.69	97.1627	10969.6	0.710207	230.036	19.9365	12576.6	0.134233	0.0000249598	19.9365	10959.4
15.4396	253.711	0.0965398	29.6946	28.3505	272.754	0.193467	0.00000100748	28.3505	272.754	167.889	2254.6	1.21559	53.3791	29.5117	2732.45	0.199365	0.00000707577	29.5117	2133.74	98.5907	10733.2	0.710207	227.544	20.2053	12512.6	0.134233	0.0000248329	20.2053	10947.9
15.6327	243.284	0.0965398	29.078	28.7378	272.584	0.193467	0.00000100685	28.7378	272.584	170.335	2220.47	1.21559	52.9736	29.9108	2745.68	0.199365	0.00000751816	29.9108	2159.03	100.019	11273.5	0.710207	233.2	20.474	12451.5	0.134233	0.0000247159	20.474	10936.1
15.8259	236.333	0.0965398	28.6596	29.1251	271.891	0.193467	0.00000100429	29.1251	271.891	172.781	2248.28	1.21559	53.3042	30.3099	2781.67	0.199365	0.00000788846	30.3099	2206.93	101.447	10521	0.710207	225.283	20.7427	12392	0.134233	0.0000248993	20.7427	10924.3
16.0191	281.515	0.0965398	31.2794	29.5124	271.694	0.193467	0.00000100357	29.5124	271.694	175.227	2353.17	1.21559	54.5335	30.709	2834.17	0.199365	0.00000839107	30.709	2271.08	102.875	10603	0.710207	226.159	21.0115	12333.5	0.134233	0.0000250834	21.0115	10912.9
16.2123	278.039	0.0965398	31.0857	29.8998	273.54	0.193467	0.00000101038	29.8998	273.54	177.673	2300.09	1.21559	53.915	31.1082	2885.3	0.199365	0.00000913733	31.1082	2333.52	104.303	10699.4	0.710207	227.186	21.2802	12276	0.134233	0.0000248376	21.2802	10902.1
16.4054	212.005	0.0965398	27.1444	30.2871	278.522	0.193467	0.00000102879	30.2871	278.522	180.12	2191.41	1.21559	52.6258	31.5073	2917.15	0.199365	0.0000101428	31.5073	2376.46	105.731	11230.1	0.710207	232.751	21.5489	12219.8	0.134233	0.0000240567	21.5489	10891.9
16.5986	208.529	0.0965398	26.921	30.6744	286.011	0.193467	0.00000105645	30.6744	286.011	182.566	2330.42	1.21559	54.2693	31.9064	2923.9	0.199365	0.0000114197	31.9064	2394.2	107.159	11124	0.710207	231.648	21.8177	12166	0.134233	0.000023011	21.8177	10882.5
16.7918	250.235	0.0965398	29.4905	31.0617	293.506	0.193467	0.00000108413	31.0617	293.506	185.012	2259.65	1.21559	53.4389	32.3056	2912.21	0.199365	0.0000128759	32.3056	2393.54	108.587	10578.9	0.710207	225.902	22.0864	12116.1	0.134233	0.0000219689	22.0864	10873.9
16.985	215.48	0.0965398	27.366	31.449	298.243	0.193467	0.00000110163	31.449	298.243	187.458	2305.15	1.21559	53.9742	32.7047	2892.56	0.199365	0.0000142669	32.7047	2385.01	110.015	11085.4	0.710207	231.246	22.3552	12070.2	0.134233	0.000020996	22.3552	10865.9
17.1782	229.382	0.0965398	28.235	31.8364	299.093	0.193467	0.00000110477	31.8364	299.093	189.904	2298.83	1.21559	53.9002	33.1038	2872.03	0.199365	0.0000152396	33.1038	2375.69	111.443	11336.2	0.710207	233.848	22.6239	12026.6	0.134233	0.0000200291	22.6239	10858.5
