X_Sb70V	Y_Sb70V	ErrorX_Sb70V	ErrorY_Sb70V	X_Sb70Vmodel	Y_Sb70VCompton	Y_Sb70VEC	Y_Sb70VBkgmodel	X_Y70V	Y_Y70V	ErrorX_Y70V	ErrorY_Y70V	X_Y70VModel	Y_Y70VCompton	Y_Y70VEC	Y_Y70VBkgmodel	X_Y25V	Y_Y25V	ErrorX_Y25V	ErrorY_Y25V	X_Y25VModel	Y_Y25VCompton	Y_Y25VEC	Y_Y25VBkgmodel
19.6841	291.101	0.152868	30.8566	4.72549	266.147	0.142574	260.865	158.121	489.892	1.37479	13.348	6.34688	406.638	1.86859E-13	377.241	88.3803	942.101	0.762657	24.8524	4.44907	759.048	0	734.389
19.9898	212.602	0.152868	26.37	4.76411	266.147	0.101662	259.589	160.871	490.62	1.37479	13.3579	6.3862	406.638	6.87209E-14	377.169	89.9056	954.557	0.762657	25.0162	4.47562	759.048	0	734.899
20.2955	297.643	0.152868	31.2014	4.80273	266.147	0.0713862	258.307	163.621	481.164	1.37479	13.2286	6.42552	406.638	2.48746E-14	377.102	91.4309	940.79	0.762657	24.8351	4.50216	759.048	0	735.411
20.6013	284.559	0.152868	30.508	4.84135	266.147	0.0493638	257.025	166.37	506.986	1.37479	13.5789	6.46485	406.638	8.86169E-15	377.038	92.9562	941.445	0.762657	24.8438	4.5287	759.048	0	735.925
20.907	304.184	0.152868	31.5424	4.87997	266.147	0.0336156	255.751	169.12	478.254	1.37479	13.1885	6.50417	406.638	3.1072E-15	376.979	94.4815	987.338	0.762657	25.4421	4.55524	759.048	0	736.441
21.2127	251.851	0.152868	28.7011	4.91858	266.147	0.0225429	254.494	171.869	472.072	1.37479	13.103	6.54349	406.638	1.0723E-15	376.924	96.0068	936.201	0.762657	24.7745	4.58179	759.048	0	736.958
21.5185	235.497	0.152868	27.7536	4.9572	266.147	0.0148874	253.261	174.619	514.987	1.37479	13.6856	6.58282	406.638	3.64211E-16	376.873	97.5321	993.238	0.762657	25.518	4.60833	759.048	0	737.477
21.8242	317.267	0.152868	32.2136	4.99582	266.147	0.00968201	252.06	177.369	499.712	1.37479	13.4811	6.62214	406.638	1.21754E-16	376.826	99.0575	934.234	0.762657	24.7485	4.63487	759.048	0	737.998
22.13	255.122	0.152868	28.8869	5.03444	266.147	0.00620083	250.897	180.118	477.891	1.37479	13.1835	6.66146	406.638	4.00598E-17	376.783	100.583	895.553	0.762657	24.2307	4.66142	759.048	0	738.521
22.4357	238.768	0.152868	27.9457	5.07306	266.147	0.00391086	249.777	182.868	473.526	1.37479	13.1232	6.70079	406.638	1.29726E-17	376.744	102.108	963.736	0.762657	25.1362	4.68796	759.048	0	739.047
22.7414	281.289	0.152868	30.3321	5.11167	266.147	0.00242903	248.708	185.617	482.255	1.37479	13.2436	6.74011	406.638	4.13462E-18	376.709	103.633	1014.87	0.762657	25.7944	4.7145	759.048	0	739.574
23.0472	300.913	0.152868	31.3724	5.15029	266.147	0.00148571	247.692	188.367	514.26	1.37479	13.676	6.77943	406.638	1.297E-18	376.677	105.159	962.425	0.762657	25.1191	4.74105	759.048	0	740.104
23.3529	235.497	0.152868	27.7536	5.18891	266.147	0.000894891	246.736	191.116	489.165	1.37479	13.3381	6.81875	406.638	4.00437E-19	376.65	106.684	937.512	0.762657	24.7918	4.76759	759.048	0	740.635
